View,Side,Part,Area,x,y
Front,Left,Head,Front Left Head,132,21
Front,Left,Head,Front Left Head,134,21
Front,Left,Head,Front Left Head,134,22
Front,Left,Head,Front Left Head,135,22
Front,Left,Head,Front Left Head,135,23
Front,Left,Head,Front Left Head,136,23
Front,Left,Head,Front Left Head,136,24
Front,Left,Head,Front Left Head,138,24
Front,Left,Head,Front Left Head,138,26
Front,Left,Head,Front Left Head,139,26
Front,Left,Head,Front Left Head,139,28
Front,Left,Head,Front Left Head,141,28
Front,Left,Head,Front Left Head,141,31
Front,Left,Head,Front Left Head,142,31
Front,Left,Head,Front Left Head,142,34
Front,Left,Head,Front Left Head,143,34
Front,Left,Head,Front Left Head,143,53
Front,Left,Head,Front Left Head,144,53
Front,Left,Head,Front Left Head,144,54
Front,Left,Head,Front Left Head,145,54
Front,Left,Head,Front Left Head,145,59
Front,Left,Head,Front Left Head,144,59
Front,Left,Head,Front Left Head,144,61
Front,Left,Head,Front Left Head,143,61
Front,Left,Head,Front Left Head,143,62
Front,Left,Head,Front Left Head,142,62
Front,Left,Head,Front Left Head,142,63
Front,Left,Head,Front Left Head,141,63
Front,Left,Head,Front Left Head,141,64
Front,Left,Head,Front Left Head,140,64
Front,Left,Head,Front Left Head,140,65
Front,Left,Head,Front Left Head,139,65
Front,Left,Head,Front Left Head,139,75
Front,Left,Head,Front Left Head,138,75
Front,Left,Head,Front Left Head,138,78
Front,Left,Head,Front Left Head,137,78
Front,Left,Head,Front Left Head,137,79
Front,Left,Head,Front Left Head,136,79
Front,Left,Head,Front Left Head,136,81
Front,Left,Head,Front Left Head,135,81
Front,Left,Head,Front Left Head,135,82
Front,Left,Head,Front Left Head,134,82
Front,Left,Head,Front Left Head,134,83
Front,Left,Head,Front Left Head,133,83
Front,Left,Head,Front Left Head,133,84
Front,Left,Head,Front Left Head,132,84
Front,Left,Head,Front Left Head,132,85
Front,Left,Head,Front Left Head,130,85
Front,Left,Head,Front Left Head,130,86
Front,Left,Head,Front Left Head,129,86
Front,Left,Head,Front Left Head,129,87
Front,Left,Head,Front Left Head,127,87
Front,Left,Head,Front Left Head,127,88
Front,Left,Head,Front Left Head,125,88
Front,Left,Head,Front Left Head,125,89
Front,Left,Head,Front Left Head,123,89
Front,Left,Head,Front Left Head,123,17
Front,Left,Head,Front Left Head,123,18
Front,Left,Head,Front Left Head,128,18
Front,Left,Head,Front Left Head,128,19
Front,Left,Head,Front Left Head,131,19
Front,Left,Head,Front Left Head,131,20
Front,Right,Head,Front Right Head,116,18
Front,Right,Head,Front Right Head,116,17
Front,Right,Head,Front Right Head,116,89
Front,Right,Head,Front Right Head,114,89
Front,Right,Head,Front Right Head,114,88
Front,Right,Head,Front Right Head,112,88
Front,Right,Head,Front Right Head,112,87
Front,Right,Head,Front Right Head,110,87
Front,Right,Head,Front Right Head,110,86
Front,Right,Head,Front Right Head,108,86
Front,Right,Head,Front Right Head,108,85
Front,Right,Head,Front Right Head,107,85
Front,Right,Head,Front Right Head,107,84
Front,Right,Head,Front Right Head,106,84
Front,Right,Head,Front Right Head,106,83
Front,Right,Head,Front Right Head,105,83
Front,Right,Head,Front Right Head,105,82
Front,Right,Head,Front Right Head,104,82
Front,Right,Head,Front Right Head,104,81
Front,Right,Head,Front Right Head,103,81
Front,Right,Head,Front Right Head,103,80
Front,Right,Head,Front Right Head,102,80
Front,Right,Head,Front Right Head,102,78
Front,Right,Head,Front Right Head,101,78
Front,Right,Head,Front Right Head,101,74
Front,Right,Head,Front Right Head,100,74
Front,Right,Head,Front Right Head,100,66
Front,Right,Head,Front Right Head,99,66
Front,Right,Head,Front Right Head,99,64
Front,Right,Head,Front Right Head,98,64
Front,Right,Head,Front Right Head,98,63
Front,Right,Head,Front Right Head,97,63
Front,Right,Head,Front Right Head,97,62
Front,Right,Head,Front Right Head,96,62
Front,Right,Head,Front Right Head,96,61
Front,Right,Head,Front Right Head,95,61
Front,Right,Head,Front Right Head,95,60
Front,Right,Head,Front Right Head,94,60
Front,Right,Head,Front Right Head,94,59
Front,Right,Head,Front Right Head,93,59
Front,Right,Head,Front Right Head,93,54
Front,Right,Head,Front Right Head,94,54
Front,Right,Head,Front Right Head,94,53
Front,Right,Head,Front Right Head,95,53
Front,Right,Head,Front Right Head,95,52
Front,Right,Head,Front Right Head,96,52
Front,Right,Head,Front Right Head,96,33
Front,Right,Head,Front Right Head,97,33
Front,Right,Head,Front Right Head,97,30
Front,Right,Head,Front Right Head,98,30
Front,Right,Head,Front Right Head,98,28
Front,Right,Head,Front Right Head,99,28
Front,Right,Head,Front Right Head,99,26
Front,Right,Head,Front Right Head,101,26
Front,Right,Head,Front Right Head,101,24
Front,Right,Head,Front Right Head,102,24
Front,Right,Head,Front Right Head,102,23
Front,Right,Head,Front Right Head,104,23
Front,Right,Head,Front Right Head,104,22
Front,Right,Head,Front Right Head,105,22
Front,Right,Head,Front Right Head,105,21
Front,Right,Head,Front Right Head,106,21
Front,Right,Head,Front Right Head,106,20
Front,Right,Head,Front Right Head,108,20
Front,Right,Head,Front Right Head,108,19
Front,Right,Head,Front Right Head,110,19
Front,Right,Head,Front Right Head,110,18
Front,Left,Neck,Front Left Neck,134,92
Front,Left,Neck,Front Left Neck,134,91
Front,Left,Neck,Front Left Neck,135,91
Front,Left,Neck,Front Left Neck,135,90
Front,Left,Neck,Front Left Neck,135,94
Front,Left,Neck,Front Left Neck,136,94
Front,Left,Neck,Front Left Neck,136,95
Front,Left,Neck,Front Left Neck,135,95
Front,Left,Neck,Front Left Neck,135,96
Front,Left,Neck,Front Left Neck,134,96
Front,Left,Neck,Front Left Neck,134,97
Front,Left,Neck,Front Left Neck,133,97
Front,Left,Neck,Front Left Neck,133,98
Front,Left,Neck,Front Left Neck,131,98
Front,Left,Neck,Front Left Neck,131,99
Front,Left,Neck,Front Left Neck,129,99
Front,Left,Neck,Front Left Neck,129,101
Front,Left,Neck,Front Left Neck,127,101
Front,Left,Neck,Front Left Neck,127,102
Front,Left,Neck,Front Left Neck,126,102
Front,Left,Neck,Front Left Neck,126,103
Front,Left,Neck,Front Left Neck,125,103
Front,Left,Neck,Front Left Neck,125,104
Front,Left,Neck,Front Left Neck,123,104
Front,Left,Neck,Front Left Neck,123,105
Front,Left,Neck,Front Left Neck,123,96
Front,Left,Neck,Front Left Neck,125,96
Front,Left,Neck,Front Left Neck,125,95
Front,Left,Neck,Front Left Neck,128,95
Front,Left,Neck,Front Left Neck,128,94
Front,Left,Neck,Front Left Neck,130,94
Front,Left,Neck,Front Left Neck,130,93
Front,Left,Neck,Front Left Neck,132,93
Front,Left,Neck,Front Left Neck,132,92
Front,Right,Neck,Front Right Neck,111,94
Front,Right,Neck,Front Right Neck,111,95
Front,Right,Neck,Front Right Neck,114,95
Front,Right,Neck,Front Right Neck,114,96
Front,Right,Neck,Front Right Neck,116,96
Front,Right,Neck,Front Right Neck,116,105
Front,Right,Neck,Front Right Neck,115,105
Front,Right,Neck,Front Right Neck,115,104
Front,Right,Neck,Front Right Neck,114,104
Front,Right,Neck,Front Right Neck,114,103
Front,Right,Neck,Front Right Neck,113,103
Front,Right,Neck,Front Right Neck,113,102
Front,Right,Neck,Front Right Neck,111,102
Front,Right,Neck,Front Right Neck,111,101
